Average min,Average max,mean actual,max temp actual,min temp actual,date,y
30,44,48,55,40,2015/12/9,0
29,44,56,60,51,2015/12/10,0
29,43,56,61,50,2015/12/11,0
29,43,61,66,55,2015/12/12,0
29,43,61,67,55,2015/12/13,0
28,42,60,67,53,2015/12/14,0
28,42,61,68,53,2015/12/15,0
28,42,50,53,46,2015/12/16,0
28,41,55,59,50,2015/12/17,0
27,41,48,57,38,2015/12/18,0
27,41,38,40,35,2015/12/19,0
27,41,39,43,34,2015/12/20,0
27,40,48,56,39,2015/12/21,0
26,40,58,62,53,2015/12/22,0
26,40,58,64,52,2015/12/23,0
26,40,68,72,63,2015/12/24,0
26,39,62,66,57,2015/12/25,0
25,39,53,59,47,2015/12/26,0
25,39,54,61,46,2015/12/27,0
25,39,40,46,34,2015/12/28,0
25,38,40,46,34,2015/12/29,0
25,38,43,48,38,2015/12/30,0
24,38,45,48,42,2015/12/31,0
